,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
508,8,6.0,16413,24.96366758399745,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
509,16,6.0,16421,25.029600098998344,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
510,32,6.0,16437,25.11146029199881,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
511,64,6.0,16469,25.226091627999267,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
512,128,6.0,16533,25.406436866996955,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
513,256,6.0,16661,25.715290542997536,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
514,512,6.0,16917,26.292318503998104,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
515,1024,6.0,17429,27.413409305998357,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,16
516,0,1.0,17429,27.46546196899726,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",75,1024,17
517,1,2.0,17431,27.51949813399915,"[np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",75,1024,17
518,2,6.0,17433,27.571906252996996,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
519,4,6.0,17435,27.62761128999773,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
520,8,6.0,17439,27.687283195999044,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
521,16,6.0,17447,27.754578120999213,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
522,32,6.0,17463,27.83905559899722,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
523,64,6.0,17495,27.95724762499958,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
524,128,6.0,17559,28.145185411998682,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
525,256,6.0,17687,28.47355856899958,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
526,512,6.0,17943,29.076915734000067,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
527,1024,6.0,18455,30.26613738299784,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,17
528,0,0.0,18455,30.319803657999728,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1)]",75,1024,18
529,1,2.0,18457,30.376366184998915,"[np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",75,1024,18
530,2,6.0,18459,30.431395031999273,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
531,4,6.0,18461,30.48917411900038,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
532,8,6.0,18465,30.551433876000374,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
533,16,6.0,18473,30.621219983997435,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
534,32,6.0,18489,30.708739246998448,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
535,64,6.0,18521,30.833813409997674,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
536,128,6.0,18585,31.03010529399762,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
537,256,6.0,18713,31.376904505999846,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
538,512,6.0,18969,32.0150484079968,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
539,1024,6.0,19481,33.27383139700032,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,18
540,0,1.0,19481,33.328654277996975,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,19
541,1,1.0,19482,33.38582175999909,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,19
542,2,1.0,19483,33.44250125899998,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,19
543,4,4.0,19486,33.50161064799977,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
544,8,4.0,19490,33.56500600899744,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
545,16,4.0,19498,33.64047003799715,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
546,32,4.0,19514,33.73286177800037,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
547,64,4.0,19546,33.86231488799967,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
548,128,4.0,19610,34.06371954699716,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
549,256,4.0,19738,34.426112212997396,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
550,512,4.0,19994,35.096874101996946,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
